Freq [GHz],"dB(S(1,1)) []","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []"
2.882,-7.321954321,-4.397734486,-12.6691613,-9.364047764
2.892,-7.550919601,-4.270184564,-12.62413881,-9.420654061
2.902,-7.787458905,-4.147533482,-12.58205865,-9.479192301
2.912,-8.031832901,-4.029654296,-12.54284298,-9.539630812
2.922,-8.284319161,-3.916422569,-12.50641456,-9.601936714
2.932,-8.545213495,-3.807716437,-12.47269692,-9.666075228
2.942,-8.814830885,-3.703416271,-12.44161412,-9.732011823
2.952,-9.093506977,-3.603404975,-12.41309113,-9.79971002
2.962,-9.381599031,-3.507567852,-12.38705379,-9.86913214
2.972,-9.67948662,-3.415792375,-12.36342864,-9.940240754
2.982,-9.987572422,-3.327968406,-12.34214324,-10.01299703
2.992,-10.30628223,-3.24398805,-12.32312606,-10.08736157
3.002,-10.63606432,-3.163745591,-12.30630651,-10.16329479
3.012,-10.97738803,-3.087137553,-12.29161504,-10.24075621
3.022,-11.33074065,-3.01406265,-12.27898315,-10.31970471
3.032,-11.69662242,-2.94442165,-12.26834333,-10.4000993
3.042,-12.07553863,-2.878117424,-12.25962913,-10.4818986
3.052,-12.46798776,-2.815054964,-12.25277523,-10.56506041
3.062,-12.87444388,-2.755141245,-12.24771735,-10.64954255
3.072,-13.29533116,-2.698285218,-12.24439232,-10.7353027
3.082,-13.73103732,-2.644395849,-12.24273609,-10.82229622
3.092,-14.18161332,-2.593391843,-12.24269354,-10.91048579
3.102,-14.64719861,-2.545182003,-12.24419887,-10.99982287
3.112,-15.12742313,-2.499684905,-12.24719529,-11.09026526
3.122,-15.62151814,-2.456818779,-12.25162495,-11.18177038
3.132,-16.12807925,-2.416503829,-12.25743128,-11.27429341
3.142,-16.64481855,-2.378661809,-12.26455859,-11.36779089
3.152,-17.1682452,-2.343216214,-12.27295231,-11.46221858
3.162,-17.69327368,-2.310092195,-12.2825589,-11.55753184
3.172,-18.21277907,-2.279216512,-12.29332584,-11.6536857
3.182,-18.71716018,-2.250517424,-12.30520157,-11.75063564
3.192,-19.1940368,-2.223924779,-12.31813556,-11.84833619
3.202,-19.62829415,-2.199369928,-12.33207824,-11.94674147
3.212,-20.00275387,-2.176785611,-12.34698096,-12.045806
3.222,-20.2997137,-2.156106075,-12.36279608,-12.14548302
3.232,-20.50336456,-2.137266876,-12.3794768,-12.24572631
3.242,-20.60263225,-2.120204937,-12.39697723,-12.34648913
3.252,-20.59354025,-2.104858569,-12.41525246,-12.44772359
3.262,-20.48013015,-2.091167304,-12.43425835,-12.54938221
3.272,-20.27351788,-2.079071964,-12.45395167,-12.65141678
